timestamp,ip,protocol,port,hostname,tag,header,asn,geo,region,city,systime,cache_control,location,server,search_target,unique_service_name,host,nts,nt,naics,sic,sector
09/02/2017 09:14,192.167.30.21,udp,3075,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 03:16:36 GMT",max-age=1800,,"Linux/2.6.17, UPnP/1.0, Intel SDK for UPnP devices /1.2",upnp:rootdevice,uuid:Upnp-BasicDevice-1_0-00408CA6F2A3::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 10:33,192.167.72.172,udp,2051,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 02:33:44 GMT",max-age=1200,,"Linux/2.6.15--LSDK-7.1.3.23, UPnP/1.0, Intel SDK for UPnP devices /1.2",upnp:rootdevice,uuid:e7fe1b91-8cd5-0310-98dd-e8b748263ce8::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 10:44,192.167.72.195,udp,2066,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 02:44:21 GMT",max-age=1200,,"Linux/2.6.15--LSDK-7.1.3.23, UPnP/1.0, Intel SDK for UPnP devices /1.2",upnp:rootdevice,uuid:e7fe1b91-8cd5-0310-98dd-e8b748263d42::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 10:34,192.167.76.82,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=120,,NT/5.0 UPnP/1.0,upnp:rootdevice,uuid:upnp-InternetGatewayDevice-1_0-0090a2777777::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:23,192.167.87.65,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=1800,,Custom/1.0 UPnP/1.0 Prod/Ver,upnp:rootdevice,uuid:7e8f6101-e35c-4339-a1a6-0bcac8957487::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:58,192.167.90.14,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=1800,,"POSIX, UPnP/1.0, MicroStack/1.0.4780",upnp:rootdevice,uuid:BR75186::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 10:28,192.167.90.35,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=1800,,"POSIX, UPnP/1.0, MicroStack/1.0.4780",upnp:rootdevice,uuid:BR65004::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 10:07,192.167.90.37,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=1800,,"POSIX, UPnP/1.0, MicroStack/1.0.4780",upnp:rootdevice,uuid:BR65018::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:45,192.167.90.47,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=1800,,"POSIX, UPnP/1.0, MicroStack/1.0.4780",upnp:rootdevice,uuid:BR75334::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:11,192.167.90.48,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=1800,,"POSIX, UPnP/1.0, MicroStack/1.0.4780",upnp:rootdevice,uuid:BR58329::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 10:20,192.167.90.50,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=1800,,"POSIX, UPnP/1.0, MicroStack/1.0.4780",upnp:rootdevice,uuid:BR75330::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:35,192.167.90.51,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=1800,,"POSIX, UPnP/1.0, MicroStack/1.0.4780",upnp:rootdevice,uuid:BR52949::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 11:00,192.167.105.22,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=120,,uClinux/2.6.28.10 UPnP/1.0 MiniUPnPd/1.3,upnp:rootdevice,uuid:86928f42-1dd2-11b2-ba66-e68380e1d71e::upnp:rootdevice,,,,0,0,Information Technology
