timestamp,ip,protocol,port,hostname,tag,mac_address,asn,geo,region,city,workgroup,machine_name,username,naics,sic,sector
09/02/2017 01:56,192.168.225.149,udp,137,,netbios,00-13-20-78-CB-02,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,ENCIA,BEC1014,0,0,Information Technology
09/02/2017 03:21,192.168.225.178,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,VIGILANCIA-ALL-,BEC1015,0,0,Information Technology
09/02/2017 03:24,192.168.227.4,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,IMAC-JSR,BEC1016,0,0,Information Technology
09/02/2017 02:06,192.168.227.23,udp,137,,netbios,B8-97-5A-8E-80-3F,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,,BEC1017,0,0,Information Technology
09/02/2017 02:10,192.168.227.36,udp,137,,netbios,B4-99-BA-5C-84-2A,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,,BEC1018,0,0,Information Technology
09/02/2017 01:54,192.168.227.250,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,NPIE9E08E,BEC1019,0,0,Information Technology
09/02/2017 01:42,192.168.228.8,udp,922,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,MATUSLSC,BEC1020,0,0,Information Technology
09/02/2017 02:25,192.168.228.11,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,HERMES,BEC1021,0,0,Information Technology
09/02/2017 01:32,192.168.228.97,udp,137,,netbios,00-24-E8-18-72-B4,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,COMPUTO0-CA260D,BEC1022,0,0,Information Technology
09/02/2017 01:37,192.168.228.148,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,ZEUS,BEC1023,0,0,Information Technology
09/02/2017 01:54,192.168.228.175,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,DEBIAN,BEC1024,0,0,Information Technology
